# VSS hardware run — 2026-04-20T12:59:15
# mu=0.001  mu_omega=0.0  control_fs=800.0  log_hz=100.0
# cancel_dur=240.0s  actual_dur=240.01s  n_samples=24001
# F_init_hz=[8.499999966281907]  max_amp_per_tone=9.0mm  max_total_amp=60.0mm
# dir_invert=True  simulate=False
# NOTE: C_mm, S_mm, f_hz, A_mm are tone 1 only
t_s,e_m_s2,C_mm,S_mm,f_hz,A_mm
3.629189,0.014357,0.082299,-0.194647,8.502288,0.211331
3.639189,-0.311067,0.083857,-0.195600,8.502288,0.212818
3.649190,-0.330210,0.086422,-0.195813,8.502288,0.214036
3.659191,-0.222533,0.088216,-0.194997,8.502288,0.214023
3.669189,-0.052642,0.088688,-0.194411,8.502288,0.213684
3.679189,0.277567,0.088736,-0.195963,8.502288,0.215118
3.689189,0.263210,0.089706,-0.197836,8.502288,0.217224
3.699189,-0.150748,0.089623,-0.198028,8.502288,0.217364
3.709189,-0.258425,0.087897,-0.198044,8.502288,0.216673
3.719189,-0.337388,0.085722,-0.199303,8.502288,0.216956
3.729189,-0.153141,0.084764,-0.200776,8.502288,0.217936
3.739188,0.071785,0.084653,-0.200874,8.502288,0.217983
3.749190,-0.095713,0.084860,-0.201055,8.502288,0.218230
3.759189,-0.382852,0.086848,-0.201959,8.502288,0.219841
3.769189,-0.323031,0.089578,-0.201875,8.502288,0.220857
3.779189,-0.179462,0.091285,-0.200857,8.502288,0.220627
3.789189,0.131605,0.091517,-0.200761,8.502288,0.220636
3.799189,0.387637,0.091804,-0.202798,8.502288,0.222609
3.809189,0.081356,0.092729,-0.204413,8.502288,0.224462
3.819189,-0.248854,0.092054,-0.204297,8.502288,0.224079
3.829189,-0.315853,0.089838,-0.204568,8.502288,0.223425
3.839189,-0.308674,0.087855,-0.206038,8.502288,0.223987
3.849189,-0.050249,0.087180,-0.207294,8.502288,0.224880
3.859189,0.105284,0.087095,-0.207243,8.502288,0.224800
3.869189,-0.253639,0.087376,-0.207310,8.502288,0.224971
3.879189,-0.387637,0.089643,-0.208105,8.502288,0.226591
3.889189,-0.303888,0.092427,-0.207672,8.502288,0.227311
3.899189,-0.057428,0.093784,-0.206682,8.502288,0.226964
3.909189,0.332602,0.093739,-0.207405,8.502288,0.227605
3.919193,0.313460,0.094244,-0.209928,8.502288,0.230113
3.929190,-0.148355,0.094821,-0.210909,8.502288,0.231244
